"user_id","business_id","longitude","latitude","BusinessAcceptsCreditCards","BikeParking","Ambience","WiFi","RestaurantsDelivery","GoodForKids","Alcohol","parking","HasTV","OutdoorSeating","WheelchairAccessible","RestaurantsTakeOut","RestaurantsReservations","RestaurantsTableService","stars.x","stars.y","useful.x","type.x","cool.x","funny.x","useful.y","compliment_photos","compliment_list","compliment_funny","compliment_plain","review_count","fans","type.y","compliment_note","funny.y","compliment_writer","compliment_cute","average_stars","compliment_more","compliment_hot","cool.y","compliment_profile","compliment_cool","Bakery","French","Desserts","Deli","JuiceBar","Burgers","American","Cafe","Pizza","Mexican","Tex.Mex","IceCream","Italian","SaladBar","Peruvian","Bar","DimSum","Chinese","SportsBar","BeerBar","European","Mediterranean","Vietnamese","Thai","AsianFusion","Japanese","Steakhouse","Foodtruck","Seafood","WineBar","TapasBar","LatinAmerican","MiddleEastern","Lounge","Russian","TikiBar","Arabian","Barbeque","Korean","SushiBar","Greek","Indian","PastaShop","German","Persian","HotDogs","FastFood","Diner","Donuts","Soups","Spanish","British","Filipino","Egyptian","Irish","African","Cuban","Hotpot","Mongolian","Lebanese","Afghan","Cambodian","Columbian","Salvadoran","Czech","Portuguese","Hawaiian","Polish","Malaysian","Caribbean","Turkish","HookahBar","Moroccan","Kosher","Belgian","Teppanyaki","Nepalese","Basque","Ethiopian","Venezuelan","Waffles","Argentine","Slovakian","Canadian","Taiwanese","Australian","WhiskeyBar","Cantonese","Brazilian","Scottish","ChampagneBar","Shanghaniese","Kebab","Burmese","Singaporean","Ukranian","Bangladeshi","Dominican","Indonesian","Austrian"
"#NAME?","-2pmn-oTJeybmDrL-ojwrw",-81.7030619,41.4846863,"Yes","No","casual","No","No","No","No","No","No","No","No","Yes","No","No",4.5,5,0,"review",0,"1 0",0,0,0,0,0,0,0,"user",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"_uqIpl5tzucKuIlZZPBZRw","BEpUZHL0FdBWa4egx1r2LQ",-112.012109,33.3181,"Yes","Yes","casual","No","No","No","No","No","No","No","Yes","Yes","No","No",4,5,1,"review",0,"1 0",535,2,1,32,55,564,50,"user",17,160,50,1,3.95,9,35,204,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"---1lKK3aKOuomHnwAkAow","1JF9TbJ2d5hH8xsQvvklHg",-115.333346,33.31924104,"Yes","Yes","casual","Yes","No","Yes","full_bar","No","Yes","Yes","Yes","Yes","Yes","Yes",4,5,1,"review",1,"1 0",67,0,0,9,9,244,14,"user",5,22,9,0,3.97,3,2,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-0aInSHjCWLfiNqfgmWnow","ANAGlfG4ELW3jiO62GQ1zw",-115.1764154,33.235134,"Yes","No","casual","No","No","No","full_bar","No","No","No","Yes","No","Yes","Yes",4,5,1,"review",0,"1 0",3,0,0,1,1,19,3,"user",1,1,1,0,3.83,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EiP1OFgs-XGcKZux0OKWIA","ZzF5098L4xg-0COjng2LVA",-79.4185627,43.655055,"No","No","casual","Yes","No","No","beer_and_wine","No","Yes","No","No","Yes","No","Yes",3.5,5,4,"review",3,"1 3",1297,59,1,215,287,778,55,"user",247,749,68,2,3.47,6,72,1213,2,215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"_txhy3UvyGffFh8FLO2_qw","AQuvwHokJgcv1kchsZqKqg",-115.1744147,33.407724,"Yes","No","casual","No","No","No","No","No","No","Yes","No","No","Yes","Yes",4.5,4,2,"review",4,"1 0",483,8,1,231,101,544,87,"user",116,374,50,1,3.79,20,199,642,10,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-50XWnmQGqBgEI-9ANvLlg","0_TiLam-zHFlm6qb9DyEmA",-115.290218,33.313742,"Yes","No","casual","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes",3.5,5,1,"review",1,"1 1",432,3,1,26,25,216,25,"user",6,100,13,1,3.95,2,12,196,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"_4NHePAXLhcloTD04wqpqw","4oVdfmr4wynOMvFy2u-Z3A",-115.119197,33.5855766,"Yes","Yes","casual","No","No","Yes","No","No","No","No","No","Yes","No","No",4.5,5,1,"review",1,"1 0",1392,1,0,56,84,590,30,"user",37,262,1,0,3.51,1,1,179,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#NAME?","07ZateHZK5iqMxNs3g3r6Q",-89.3810002,43.0750544,"Yes","Yes","casual","No","No","Yes","full_bar","No","Yes","No","No","Yes","Yes","Yes",4,5,0,"review",0,"1 0",0,0,0,0,0,0,0,"user",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4UQfst9jve4GCSfWpWn2uA","BD5FChWmUvj9jptT_VAHsg",-111.687177,33.375057,"Yes","No","casual","No","No","No","No","No","No","No","No","No","No","No",4.5,5,2,"review",1,"1 1",169,1,0,162,196,518,20,"user",92,110,134,1,3.69,1,126,126,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
